addition_only,base_preserved,base_removed,deletion_only,distinct_definitions,distinct_semantic_terms_max,distinct_semantic_terms_mean,distinct_semantic_terms_median,distinct_semantic_terms_p95,distinct_semantic_terms_sum,edges_max,edges_mean,edges_median,edges_p95,edges_sum,family,input_profile,loss_from_R,nodes_max,nodes_mean,nodes_median,nodes_p95,nodes_sum,noop,paired,population,pre_triples_max,pre_triples_mean,pre_triples_median,pre_triples_p95,pre_triples_sum,primary_post_satisfied,primary_post_unknown,primary_post_violated,primary_pre_satisfied,primary_pre_unknown,primary_pre_violated,records,retention_from_R,same_subject_property_replacement,split,subset,unknown_feature_nodes_max,unknown_feature_nodes_mean,unknown_feature_nodes_median,unknown_feature_nodes_p95,unknown_feature_nodes_sum,unresolved_operations,validator_profile,vocabulary_profile
0,0,0,0,0,,,,,0,,,,,0,valueType,passive,14999,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,test,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,conflictWith,passive,70427,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,train,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
0,0,5,0,4,2116,864.4,52.0,2116.0,4322,4218,1714.8,72.0,4218.0,8574,distinct,passive,159738,4216,1711.6,68.0,4216.0,8558,0,5,existing_sample,32,18.6,14.0,32.0,93,5,0,0,0,0,5,5,3.1300276068434926e-05,5,train,F_and_B_minus_A,24,12.0,10.0,24.0,60,0,checked_out_bounded,clean_parent_train_minocc100
0,0,104,0,17,200,53.51923076923077,46.0,116.0,5566,372,77.65384615384616,62.0,186.0,8076,inverse,passive,49153,373,77.04807692307692,63.0,187.0,8013,0,104,existing_sample,185,37.76923076923077,30.0,92.0,3928,104,0,0,0,0,104,104,0.002111375032990235,104,train,F_and_B_minus_A,181,31.26923076923077,25.0,88.0,3252,0,checked_out_bounded,clean_parent_train_minocc100
136,136,0,0,12,187,33.14705882352941,30.0,55.0,4508,288,50.529411764705884,46.0,82.0,6872,itemRequiresStatement,passive,69865,286,47.404411764705884,43.0,79.0,6447,0,0,existing_sample,143,23.919117647058822,22.0,40.0,3253,136,0,0,0,0,136,136,0.0019428293881515978,0,train,F_and_B_minus_A,130,14.875,13.0,26.0,2023,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,oneOf,passive,4798,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,train,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
0,226,0,225,3,196,42.85840707964602,39.0,74.0,9686,306,56.1858407079646,50.0,104.0,12698,single,passive,83581,290,56.82743362831859,51.0,103.0,12843,0,1,existing_sample,149,24.221238938053098,21.0,48.0,5474,226,0,0,0,0,226,226,0.002696672115694393,0,train,F_and_B_minus_A,114,18.654867256637168,16.0,37.0,4216,1,checked_out_bounded,clean_parent_train_minocc100
0,0,31,0,10,176,46.38709677419355,44.0,90.0,1438,248,66.06451612903226,60.0,108.0,2048,symmetric,passive,20714,242,63.54838709677419,56.0,109.0,1970,0,31,existing_sample,124,33.03225806451613,30.0,54.0,1024,31,0,0,0,0,31,31,0.0014943359845745964,31,train,F_and_B_minus_A,78,21.35483870967742,18.0,41.0,662,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,type,passive,70000,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,train,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
430,430,10,0,4,87,20.188636363636363,17.0,33.0,8883,102,27.545454545454547,26.0,44.0,12120,valueRequiresStatement,passive,69560,101,26.588636363636365,24.0,42.0,11699,0,10,existing_sample,50,11.8,11.0,20.0,5192,440,0,0,0,0,440,440,0.006285714285714286,10,train,F_and_B_minus_A,34,7.0590909090909095,6.0,12.0,3106,0,checked_out_bounded,clean_parent_train_minocc100
