bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
0,F,87535,concrete_target_components_only,component_count,heldout_target_component_training_support,0.01834694693551151,add_predicate,val,1606
1-9,F,87535,concrete_target_components_only,component_count,heldout_target_component_training_support,0.01365168218426915,add_predicate,val,1195
10-99,F,87535,concrete_target_components_only,component_count,heldout_target_component_training_support,0.01483977837436454,add_predicate,val,1299
>=100,F,87535,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9531615925058547,add_predicate,val,83435
role_reference,F,96987,all_populated_target_components,component_count,heldout_target_component_training_support,0.09745636013073918,add_predicate,val,9452
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,val,0
role_reference,F,96987,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,add_subject,val,96987
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,val,0
role_reference,F,110395,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_object,val,110395
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,val,0
role_reference,F,110395,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_predicate,val,110395
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,val,0
role_reference,F,110395,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_subject,val,110395
0,F,160788,concrete_target_components_only,component_count,heldout_target_component_training_support,0.1066559693509466,overall,val,17149
1-9,F,160788,concrete_target_components_only,component_count,heldout_target_component_training_support,0.013415180237331145,overall,val,2157
10-99,F,160788,concrete_target_components_only,component_count,heldout_target_component_training_support,0.029933825907406026,overall,val,4813
>=100,F,160788,concrete_target_components_only,component_count,heldout_target_component_training_support,0.8499950245043162,overall,val,136669
role_reference,F,622146,all_populated_target_components,component_count,heldout_target_component_training_support,0.7415590552699849,overall,val,461358
0,F_and_A_V1,57834,concrete_target_components_only,component_count,heldout_target_component_training_support,0.0,add_object,test,0
1-9,F_and_A_V1,57834,concrete_target_components_only,component_count,heldout_target_component_training_support,0.017481066500674342,add_object,test,1011
10-99,F_and_A_V1,57834,concrete_target_components_only,component_count,heldout_target_component_training_support,0.0629214648822492,add_object,test,3639
>=100,F_and_A_V1,57834,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9195974686170765,add_object,test,53184
role_reference,F_and_A_V1,81519,all_populated_target_components,component_count,heldout_target_component_training_support,0.29054576233761453,add_object,test,23685
0,F_and_A_V1,74724,concrete_target_components_only,component_count,heldout_target_component_training_support,1.338258123226808e-05,add_predicate,test,1
1-9,F_and_A_V1,74724,concrete_target_components_only,component_count,heldout_target_component_training_support,0.0013650232856913442,add_predicate,test,102
